minority,female,ses,mathach,size,sector,SCHOOL,ses_mean,N_BREAK,CWCses
0,1,-1.528,5.876,842,0,1224,-.434382978723404,47,-1.0936170212766
0,1,-.588,19.708,842,0,1224,-.434382978723404,47,-.153617021276596
0,0,-.528,20.349,842,0,1224,-.434382978723404,47,-.0936170212765958
0,0,-.668,8.781,842,0,1224,-.434382978723404,47,-.233617021276596
0,0,-.158,17.898,842,0,1224,-.434382978723404,47,.276382978723404
0,0,.022,4.583,842,0,1224,-.434382978723404,47,.456382978723404
0,1,-.618,-2.832,842,0,1224,-.434382978723404,47,-.183617021276596
0,0,-.998,.523,842,0,1224,-.434382978723404,47,-.563617021276596
0,1,-.888,1.527,842,0,1224,-.434382978723404,47,-.453617021276596
0,0,-.458,21.521,842,0,1224,-.434382978723404,47,-.0236170212765958
0,1,-1.448,9.475,842,0,1224,-.434382978723404,47,-1.0136170212766
0,1,-.658,16.057,842,0,1224,-.434382978723404,47,-.223617021276596
0,0,-.468,21.178,842,0,1224,-.434382978723404,47,-.0336170212765958
0,1,-.988,20.178,842,0,1224,-.434382978723404,47,-.553617021276596
0,0,.332,20.349,842,0,1224,-.434382978723404,47,.766382978723404
0,1,-.678,20.508,842,0,1224,-.434382978723404,47,-.243617021276596
0,0,-.298,19.338,842,0,1224,-.434382978723404,47,.136382978723404
1,0,-1.528,4.145,842,0,1224,-.434382978723404,47,-1.0936170212766
0,1,.042,2.927,842,0,1224,-.434382978723404,47,.476382978723404
0,0,-.078,16.405,842,0,1224,-.434382978723404,47,.356382978723404
0,1,.062,13.653,842,0,1224,-.434382978723404,47,.496382978723404
0,1,-.128,6.558,842,0,1224,-.434382978723404,47,.306382978723404
0,1,.472,9.653,842,0,1224,-.434382978723404,47,.906382978723404
0,0,-.468,3.154,842,0,1224,-.434382978723404,47,-.0336170212765958
1,1,-1.248,4.753,842,0,1224,-.434382978723404,47,-.813617021276596
0,0,-.628,21.721,842,0,1224,-.434382978723404,47,-.193617021276596
0,1,.832,5.166,842,0,1224,-.434382978723404,47,1.2663829787234
0,1,-.568,6.399,842,0,1224,-.434382978723404,47,-.133617021276596
0,1,-.258,6.821,842,0,1224,-.434382978723404,47,.176382978723404
0,1,-.138,9.255,842,0,1224,-.434382978723404,47,.296382978723404
0,1,-.478,3.745,842,0,1224,-.434382978723404,47,-.0436170212765957
0,1,-.948,.858,842,0,1224,-.434382978723404,47,-.513617021276596
0,1,.282,11.542,842,0,1224,-.434382978723404,47,.716382978723404
0,1,-.118,13.255,842,0,1224,-.434382978723404,47,.316382978723404
